Date,Price,Quatity Sold
Feb 16 2016 01: +0,0.034,65468
Feb 17 2016 01: +0,0.034,65668
Feb 18 2016 01: +0,0.03,88308
Feb 19 2016 01: +0,0.03,88547
Feb 20 2016 01: +0,0.03,91475
Feb 21 2016 01: +0,0.03,94973
Feb 22 2016 01: +0,0.03,65122
Feb 23 2016 01: +0,0.03,63661
Feb 24 2016 01: +0,0.03,69345
Feb 25 2016 01: +0,0.03,69546
Feb 26 2016 01: +0,0.03,76162
Feb 27 2016 01: +0,0.03,84906
Feb 28 2016 01: +0,0.03,61242
Feb 29 2016 01: +0,0.03,69983
Mar 01 2016 01: +0,0.03,73153
Mar 02 2016 01: +0,0.03,60170
Mar 03 2016 01: +0,0.03,63696
Mar 04 2016 01: +0,0.03,70703
Mar 05 2016 01: +0,0.03,76307
Mar 06 2016 01: +0,0.03,78044
Mar 07 2016 01: +0,0.03,59249
Mar 08 2016 01: +0,0.03,49668
Mar 09 2016 01: +0,0.03,49569
Mar 10 2016 01: +0,0.037,36449
Mar 11 2016 01: +0,0.037,40967
Mar 12 2016 01: +0,0.037,46917
Mar 13 2016 01: +0,0.036,44304
Mar 14 2016 01: +0,0.038,42267
Mar 15 2016 01: +0,0.036,43511
Mar 16 2016 01: +0,0.042,45133
Mar 17 2016 01: +0,0.043,37947
Mar 18 2016 01: +0,0.041,40690
Mar 19 2016 01: +0,0.042,49468
Mar 20 2016 01: +0,0.039,39890
Mar 21 2016 01: +0,0.039,38246
Mar 22 2016 01: +0,0.041,33717
Mar 23 2016 01: +0,0.042,36416
Mar 24 2016 01: +0,0.042,43784
Mar 25 2016 01: +0,0.041,45752
Mar 26 2016 01: +0,0.043,51026
Mar 27 2016 01: +0,0.04,51588
Mar 28 2016 01: +0,0.042,45076
Mar 29 2016 01: +0,0.038,43953
Mar 30 2016 01: +0,0.041,43707
Mar 31 2016 01: +0,0.044,47825
Apr 01 2016 01: +0,0.046,60850
Apr 02 2016 01: +0,0.046,56721
Apr 03 2016 01: +0,0.039,71278
Apr 04 2016 01: +0,0.038,54493
Apr 05 2016 01: +0,0.045,45834
Apr 06 2016 01: +0,0.046,49980
Apr 07 2016 01: +0,0.045,45827
Apr 08 2016 01: +0,0.045,57165
Apr 09 2016 01: +0,0.047,66480
Apr 10 2016 01: +0,0.045,69905
Apr 11 2016 01: +0,0.046,48282
Apr 12 2016 01: +0,0.045,44233
Apr 13 2016 01: +0,0.045,41605
Apr 14 2016 01: +0,0.046,41034
Apr 15 2016 01: +0,0.046,42712
Apr 16 2016 01: +0,0.046,52580
Apr 17 2016 01: +0,0.043,46474
Apr 18 2016 01: +0,0.04,42704
Apr 19 2016 01: +0,0.046,47944
