Date,Price,Quatity Sold
Jan 17 2017 01: +0,0.036,36945
Jan 18 2017 01: +0,0.035,37487
Jan 19 2017 01: +0,0.035,36025
Jan 20 2017 01: +0,0.035,43750
Jan 21 2017 01: +0,0.033,55520
Jan 22 2017 01: +0,0.035,44396
Jan 23 2017 01: +0,0.031,36222
Jan 24 2017 01: +0,0.03,35855
Jan 25 2017 01: +0,0.032,43733
Jan 26 2017 01: +0,0.03,42133
Jan 27 2017 01: +0,0.031,48417
Jan 28 2017 01: +0,0.034,51593
Jan 29 2017 01: +0,0.032,48629
Jan 30 2017 01: +0,0.03,44527
Jan 31 2017 01: +0,0.031,45886
Feb 01 2017 01: +0,0.031,46168
Feb 02 2017 01: +0,0.032,42595
Feb 03 2017 01: +0,0.037,42875
Feb 04 2017 01: +0,0.04,52294
Feb 05 2017 01: +0,0.03,62107
Feb 06 2017 01: +0,0.034,54757
Feb 07 2017 01: +0,0.034,55571
Feb 08 2017 01: +0,0.039,46480
Feb 09 2017 01: +0,0.043,41585
Feb 10 2017 01: +0,0.035,46247
Feb 11 2017 01: +0,0.036,69717
Feb 12 2017 01: +0,0.037,57097
Feb 13 2017 01: +0,0.038,46679
Feb 14 2017 01: +0,0.038,44781
Feb 15 2017 01: +0,0.037,42175
Feb 16 2017 01: +0,0.039,42385
Feb 17 2017 01: +0,0.04,49691
Feb 18 2017 01: +0,0.04,55889
Feb 19 2017 01: +0,0.038,54185
Feb 20 2017 01: +0,0.039,45588
Feb 21 2017 01: +0,0.037,44581
Feb 22 2017 01: +0,0.04,40099
Feb 23 2017 01: +0,0.039,47734
Feb 24 2017 01: +0,0.045,51801
Feb 25 2017 01: +0,0.046,55245
Feb 26 2017 01: +0,0.041,51644
Feb 27 2017 01: +0,0.044,46550
Feb 28 2017 01: +0,0.051,46356
Mar 01 2017 01: +0,0.045,48899
Mar 02 2017 01: +0,0.047,45769
Mar 03 2017 01: +0,0.044,47894
Mar 04 2017 01: +0,0.045,53799
Mar 05 2017 01: +0,0.041,50739
Mar 06 2017 01: +0,0.042,49531
Mar 07 2017 01: +0,0.041,46037
Mar 08 2017 01: +0,0.043,42963
Mar 09 2017 01: +0,0.043,43641
Mar 10 2017 01: +0,0.043,48745
Mar 11 2017 01: +0,0.046,51572
Mar 12 2017 01: +0,0.046,49928
Mar 13 2017 01: +0,0.044,41032
Mar 14 2017 01: +0,0.045,38344
Mar 15 2017 01: +0,0.047,37373
Mar 16 2017 01: +0,0.042,43728
Mar 17 2017 01: +0,0.039,47455
Mar 18 2017 01: +0,0.037,60434
Mar 19 2017 01: +0,0.034,46432
Mar 20 2017 01: +0,0.03,43313
Mar 21 2017 01: +0,0.032,44212
Mar 22 2017 01: +0,0.031,42829
Mar 23 2017 01: +0,0.03,41717
Mar 24 2017 01: +0,0.032,49110
Mar 25 2017 01: +0,0.03,49092
Mar 26 2017 01: +0,0.03,45606
Mar 27 2017 01: +0,0.03,40467
Mar 28 2017 01: +0,0.03,37767
Mar 29 2017 01: +0,0.03,30829
Mar 30 2017 01: +0,0.03,34091
Mar 31 2017 01: +0,0.03,41155
Apr 01 2017 01: +0,0.03,41768
Apr 02 2017 01: +0,0.03,38147
Apr 03 2017 01: +0,0.03,36045
Apr 04 2017 01: +0,0.03,32105
Apr 05 2017 01: +0,0.03,30210
Apr 06 2017 01: +0,0.03,28935
Apr 07 2017 01: +0,0.03,29776
Apr 08 2017 01: +0,0.03,32696
Apr 09 2017 01: +0,0.03,32977
Apr 10 2017 01: +0,0.03,29996
Apr 11 2017 01: +0,0.03,30219
Apr 12 2017 01: +0,0.03,30590
Apr 13 2017 01: +0,0.03,34818
Apr 14 2017 01: +0,0.03,32798
Apr 15 2017 01: +0,0.03,31035
Apr 16 2017 01: +0,0.03,32034
Apr 17 2017 01: +0,0.03,30913
Apr 18 2017 01: +0,0.03,28607
Apr 19 2017 01: +0,0.03,26613
Apr 20 2017 01: +0,0.03,26451
Apr 21 2017 01: +0,0.03,29105
Apr 22 2017 01: +0,0.03,32188
Apr 23 2017 01: +0,0.03,34599
Apr 24 2017 01: +0,0.03,38296
Apr 25 2017 01: +0,0.03,32941
Apr 26 2017 01: +0,0.03,28930
