Date,Price,Quantity Sold,exterior,rarity
Nov 17 2020 01: +0,34.63,114,Field-Tested,Covert
Nov 18 2020 01: +0,33.715,130,Field-Tested,Covert
Nov 19 2020 01: +0,34.035,101,Field-Tested,Covert
Nov 20 2020 01: +0,33.559,100,Field-Tested,Covert
Nov 21 2020 01: +0,33.371,129,Field-Tested,Covert
Nov 22 2020 01: +0,34.114,123,Field-Tested,Covert
Nov 23 2020 01: +0,33.978,101,Field-Tested,Covert
Nov 24 2020 01: +0,33.678,108,Field-Tested,Covert
Nov 25 2020 01: +0,32.241,114,Field-Tested,Covert
Nov 26 2020 01: +0,31.469,143,Field-Tested,Covert
Nov 27 2020 01: +0,31.197,136,Field-Tested,Covert
Nov 28 2020 01: +0,30.659,141,Field-Tested,Covert
Nov 29 2020 01: +0,30.453,128,Field-Tested,Covert
Nov 30 2020 01: +0,29.608,133,Field-Tested,Covert
Dec 01 2020 01: +0,30.33,120,Field-Tested,Covert
Dec 02 2020 01: +0,30.598,125,Field-Tested,Covert
Dec 03 2020 01: +0,30.669,175,Field-Tested,Covert
Dec 04 2020 01: +0,25.76,341,Field-Tested,Covert
Dec 05 2020 01: +0,27.808,181,Field-Tested,Covert
Dec 06 2020 01: +0,27.955,130,Field-Tested,Covert
Dec 07 2020 01: +0,28.021,133,Field-Tested,Covert
Dec 08 2020 01: +0,27.354,117,Field-Tested,Covert
Dec 09 2020 01: +0,26.988,146,Field-Tested,Covert
Dec 10 2020 01: +0,26.19,143,Field-Tested,Covert
Dec 11 2020 01: +0,27.515,141,Field-Tested,Covert
Dec 12 2020 01: +0,27.101,170,Field-Tested,Covert
Dec 13 2020 01: +0,27.314,135,Field-Tested,Covert
Dec 14 2020 01: +0,27.552,122,Field-Tested,Covert
Dec 15 2020 01: +0,28.328,128,Field-Tested,Covert
Dec 16 2020 01: +0,28.348,137,Field-Tested,Covert
Dec 17 2020 01: +0,27.9,135,Field-Tested,Covert
Dec 18 2020 01: +0,29.333,138,Field-Tested,Covert
Dec 19 2020 01: +0,29.286,141,Field-Tested,Covert
Dec 20 2020 01: +0,28.047,146,Field-Tested,Covert
Dec 21 2020 01: +0,29.464,156,Field-Tested,Covert
Dec 22 2020 01: +0,28.106,158,Field-Tested,Covert
Dec 23 2020 01: +0,28.21,162,Field-Tested,Covert
Dec 24 2020 01: +0,29.722,190,Field-Tested,Covert
Dec 25 2020 01: +0,30.944,184,Field-Tested,Covert
Dec 26 2020 01: +0,30.716,197,Field-Tested,Covert
Dec 27 2020 01: +0,31.141,158,Field-Tested,Covert
Dec 28 2020 01: +0,32.172,158,Field-Tested,Covert
Dec 29 2020 01: +0,31.912,164,Field-Tested,Covert
Dec 30 2020 01: +0,30.992,190,Field-Tested,Covert
Dec 31 2020 01: +0,31.157,156,Field-Tested,Covert
