Date,Price,Quantity Sold,exterior,rarity
Aug 11 2014 01: +0,53.732,135,Minimal Wear,Covert
Aug 12 2014 01: +0,54.732,146,Minimal Wear,Covert
Aug 13 2014 01: +0,57.165,127,Minimal Wear,Covert
Aug 14 2014 01: +0,58.129,158,Minimal Wear,Covert
Aug 15 2014 01: +0,56.771,189,Minimal Wear,Covert
Aug 16 2014 01: +0,57.899,157,Minimal Wear,Covert
Aug 17 2014 01: +0,52.074,214,Minimal Wear,Covert
Aug 18 2014 01: +0,53.108,177,Minimal Wear,Covert
Aug 19 2014 01: +0,53.749,151,Minimal Wear,Covert
Aug 20 2014 01: +0,54.175,157,Minimal Wear,Covert
Aug 21 2014 01: +0,54.493,181,Minimal Wear,Covert
Aug 22 2014 01: +0,55.506,153,Minimal Wear,Covert
Aug 23 2014 01: +0,53.545,170,Minimal Wear,Covert
Aug 24 2014 01: +0,54.866,166,Minimal Wear,Covert
Aug 25 2014 01: +0,55.001,174,Minimal Wear,Covert
Aug 26 2014 01: +0,56.792,186,Minimal Wear,Covert
Aug 27 2014 01: +0,57.039,163,Minimal Wear,Covert
Aug 28 2014 01: +0,57.994,181,Minimal Wear,Covert
Aug 29 2014 01: +0,59.179,177,Minimal Wear,Covert
Aug 30 2014 01: +0,59.187,186,Minimal Wear,Covert
Aug 31 2014 01: +0,60.355,160,Minimal Wear,Covert
Sep 01 2014 01: +0,61.181,157,Minimal Wear,Covert
Sep 02 2014 01: +0,60.751,180,Minimal Wear,Covert
Sep 03 2014 01: +0,59.659,142,Minimal Wear,Covert
Sep 04 2014 01: +0,58.532,132,Minimal Wear,Covert
Sep 05 2014 01: +0,57.993,181,Minimal Wear,Covert
Sep 06 2014 01: +0,57.25,197,Minimal Wear,Covert
Sep 07 2014 01: +0,57.731,166,Minimal Wear,Covert
Sep 08 2014 01: +0,60.027,144,Minimal Wear,Covert
Sep 09 2014 01: +0,59.515,137,Minimal Wear,Covert
Sep 10 2014 01: +0,60.235,150,Minimal Wear,Covert
Sep 11 2014 01: +0,62.498,181,Minimal Wear,Covert
Sep 12 2014 01: +0,62.702,171,Minimal Wear,Covert
Sep 13 2014 01: +0,63.114,176,Minimal Wear,Covert
Sep 14 2014 01: +0,59.791,157,Minimal Wear,Covert
Sep 15 2014 01: +0,60.204,153,Minimal Wear,Covert
Sep 16 2014 01: +0,63.536,123,Minimal Wear,Covert
Sep 17 2014 01: +0,61.947,155,Minimal Wear,Covert
Sep 18 2014 01: +0,63.159,139,Minimal Wear,Covert
Sep 19 2014 01: +0,62.412,161,Minimal Wear,Covert
Sep 20 2014 01: +0,58.803,168,Minimal Wear,Covert
Sep 21 2014 01: +0,57.703,145,Minimal Wear,Covert
Sep 22 2014 01: +0,59.161,130,Minimal Wear,Covert
Sep 23 2014 01: +0,58.964,127,Minimal Wear,Covert
Sep 24 2014 01: +0,57.758,122,Minimal Wear,Covert
Sep 25 2014 01: +0,57.894,128,Minimal Wear,Covert
Sep 26 2014 01: +0,56.167,187,Minimal Wear,Covert
Sep 27 2014 01: +0,55.063,173,Minimal Wear,Covert
Sep 28 2014 01: +0,53.017,169,Minimal Wear,Covert
Sep 29 2014 01: +0,54.399,163,Minimal Wear,Covert
Sep 30 2014 01: +0,54.468,161,Minimal Wear,Covert
Oct 01 2014 01: +0,51.791,182,Minimal Wear,Covert
Oct 02 2014 01: +0,52.97,188,Minimal Wear,Covert
Oct 03 2014 01: +0,53.58,178,Minimal Wear,Covert
Oct 04 2014 01: +0,54.113,208,Minimal Wear,Covert
Oct 05 2014 01: +0,53.377,187,Minimal Wear,Covert
Oct 06 2014 01: +0,54.556,173,Minimal Wear,Covert
Oct 07 2014 01: +0,52.841,154,Minimal Wear,Covert
Oct 08 2014 01: +0,50.838,212,Minimal Wear,Covert
Oct 09 2014 01: +0,52.348,203,Minimal Wear,Covert
Oct 10 2014 01: +0,52.215,219,Minimal Wear,Covert
Oct 11 2014 01: +0,51.991,220,Minimal Wear,Covert
Oct 12 2014 01: +0,50.047,198,Minimal Wear,Covert
Oct 13 2014 01: +0,50.275,186,Minimal Wear,Covert
Oct 14 2014 01: +0,50.717,158,Minimal Wear,Covert
Oct 15 2014 01: +0,49.933,164,Minimal Wear,Covert
Oct 16 2014 01: +0,51.086,165,Minimal Wear,Covert
Oct 17 2014 01: +0,48.339,220,Minimal Wear,Covert
Oct 18 2014 01: +0,48.607,212,Minimal Wear,Covert
Oct 19 2014 01: +0,48.517,211,Minimal Wear,Covert
Oct 20 2014 01: +0,47.971,206,Minimal Wear,Covert
Oct 21 2014 01: +0,46.839,177,Minimal Wear,Covert
Oct 22 2014 01: +0,49.53,165,Minimal Wear,Covert
Oct 23 2014 01: +0,48.954,200,Minimal Wear,Covert
Oct 24 2014 01: +0,51.281,206,Minimal Wear,Covert
Oct 25 2014 01: +0,52.164,202,Minimal Wear,Covert
Oct 26 2014 01: +0,47.607,237,Minimal Wear,Covert
Oct 27 2014 01: +0,45.43,207,Minimal Wear,Covert
Oct 28 2014 01: +0,46.681,181,Minimal Wear,Covert
Oct 29 2014 01: +0,43.978,213,Minimal Wear,Covert
Oct 30 2014 01: +0,49.174,202,Minimal Wear,Covert
Oct 31 2014 01: +0,47.702,263,Minimal Wear,Covert
Nov 01 2014 01: +0,48.802,251,Minimal Wear,Covert
Nov 02 2014 01: +0,45.54,248,Minimal Wear,Covert
Nov 03 2014 01: +0,45.004,215,Minimal Wear,Covert
Nov 04 2014 01: +0,43.141,211,Minimal Wear,Covert
Nov 05 2014 01: +0,43.019,187,Minimal Wear,Covert
Nov 06 2014 01: +0,42.97,200,Minimal Wear,Covert
Nov 07 2014 01: +0,41.716,228,Minimal Wear,Covert
Nov 08 2014 01: +0,42.419,231,Minimal Wear,Covert
Nov 09 2014 01: +0,41.089,232,Minimal Wear,Covert
Nov 10 2014 01: +0,41.171,238,Minimal Wear,Covert
Nov 11 2014 01: +0,41.935,236,Minimal Wear,Covert
Nov 12 2014 01: +0,37.499,378,Minimal Wear,Covert
Nov 13 2014 01: +0,36.927,286,Minimal Wear,Covert
Nov 14 2014 01: +0,38.009,271,Minimal Wear,Covert
Nov 15 2014 01: +0,35.949,281,Minimal Wear,Covert
Nov 16 2014 01: +0,36.333,269,Minimal Wear,Covert
Nov 17 2014 01: +0,35.099,265,Minimal Wear,Covert
Nov 18 2014 01: +0,35.557,237,Minimal Wear,Covert
Nov 19 2014 01: +0,34.57,206,Minimal Wear,Covert
Nov 20 2014 01: +0,33.296,216,Minimal Wear,Covert
Nov 21 2014 01: +0,32.929,298,Minimal Wear,Covert
Nov 22 2014 01: +0,34.23,289,Minimal Wear,Covert
Nov 23 2014 01: +0,34.662,272,Minimal Wear,Covert
Nov 24 2014 01: +0,33.321,245,Minimal Wear,Covert
Nov 25 2014 01: +0,35.673,224,Minimal Wear,Covert
Nov 26 2014 01: +0,37.092,247,Minimal Wear,Covert
Nov 27 2014 01: +0,38.339,314,Minimal Wear,Covert
Nov 28 2014 01: +0,39.205,298,Minimal Wear,Covert
Nov 29 2014 01: +0,54.136,45,Minimal Wear,Covert
Nov 30 2014 01: +0,35.8,508,Minimal Wear,Covert
Dec 01 2014 01: +0,33.3,320,Minimal Wear,Covert
Dec 02 2014 01: +0,35.743,287,Minimal Wear,Covert
Dec 03 2014 01: +0,37.32,257,Minimal Wear,Covert
Dec 04 2014 01: +0,38.123,231,Minimal Wear,Covert
Dec 05 2014 01: +0,39.792,277,Minimal Wear,Covert
Dec 06 2014 01: +0,40.513,302,Minimal Wear,Covert
Dec 07 2014 01: +0,39.188,349,Minimal Wear,Covert
Dec 08 2014 01: +0,38.337,258,Minimal Wear,Covert
Dec 09 2014 01: +0,39.383,276,Minimal Wear,Covert
Dec 10 2014 01: +0,37.713,293,Minimal Wear,Covert
Dec 11 2014 01: +0,39.637,251,Minimal Wear,Covert
Dec 12 2014 01: +0,40.694,274,Minimal Wear,Covert
Dec 13 2014 01: +0,40.703,316,Minimal Wear,Covert
Dec 14 2014 01: +0,39.369,305,Minimal Wear,Covert
Dec 15 2014 01: +0,39.772,264,Minimal Wear,Covert
Dec 16 2014 01: +0,38.714,285,Minimal Wear,Covert
Dec 17 2014 01: +0,38.504,315,Minimal Wear,Covert
Dec 18 2014 01: +0,37.946,341,Minimal Wear,Covert
Dec 19 2014 01: +0,39.812,321,Minimal Wear,Covert
Dec 20 2014 01: +0,39.909,317,Minimal Wear,Covert
Dec 21 2014 01: +0,39.626,327,Minimal Wear,Covert
Dec 22 2014 01: +0,38.586,330,Minimal Wear,Covert
Dec 23 2014 01: +0,39.882,293,Minimal Wear,Covert
Dec 24 2014 01: +0,40.992,415,Minimal Wear,Covert
Dec 25 2014 01: +0,45.025,503,Minimal Wear,Covert
Dec 26 2014 01: +0,45.641,435,Minimal Wear,Covert
Dec 27 2014 01: +0,44.713,435,Minimal Wear,Covert
Dec 28 2014 01: +0,44.359,363,Minimal Wear,Covert
Dec 29 2014 01: +0,43.545,395,Minimal Wear,Covert
Dec 30 2014 01: +0,45.231,351,Minimal Wear,Covert
Dec 31 2014 01: +0,43.772,353,Minimal Wear,Covert
Jan 01 2015 01: +0,43.576,283,Minimal Wear,Covert
Jan 02 2015 01: +0,41.803,414,Minimal Wear,Covert
Jan 03 2015 01: +0,42.494,404,Minimal Wear,Covert
Jan 04 2015 01: +0,42.812,358,Minimal Wear,Covert
Jan 05 2015 01: +0,42.766,350,Minimal Wear,Covert
Jan 06 2015 01: +0,43.424,322,Minimal Wear,Covert
Jan 07 2015 01: +0,42.69,303,Minimal Wear,Covert
Jan 08 2015 01: +0,42.562,344,Minimal Wear,Covert
Jan 09 2015 01: +0,39.357,507,Minimal Wear,Covert
Jan 10 2015 01: +0,39.369,484,Minimal Wear,Covert
Jan 11 2015 01: +0,39.204,454,Minimal Wear,Covert
Jan 12 2015 01: +0,39.422,367,Minimal Wear,Covert
Jan 13 2015 01: +0,40.439,377,Minimal Wear,Covert
Jan 14 2015 01: +0,40.305,376,Minimal Wear,Covert
Jan 15 2015 01: +0,40.508,391,Minimal Wear,Covert
Jan 16 2015 01: +0,39.277,409,Minimal Wear,Covert
Jan 17 2015 01: +0,38.672,424,Minimal Wear,Covert
Jan 18 2015 01: +0,38.579,426,Minimal Wear,Covert
Jan 19 2015 01: +0,38.381,386,Minimal Wear,Covert
Jan 20 2015 01: +0,38.072,365,Minimal Wear,Covert
Jan 21 2015 01: +0,38.162,312,Minimal Wear,Covert
Jan 22 2015 01: +0,37.98,352,Minimal Wear,Covert
Jan 23 2015 01: +0,38.732,435,Minimal Wear,Covert
Jan 24 2015 01: +0,39.879,455,Minimal Wear,Covert
Jan 25 2015 01: +0,37.873,484,Minimal Wear,Covert
Jan 26 2015 01: +0,36.892,466,Minimal Wear,Covert
Jan 27 2015 01: +0,37.271,353,Minimal Wear,Covert
Jan 28 2015 01: +0,38.003,317,Minimal Wear,Covert
Jan 29 2015 01: +0,36.887,385,Minimal Wear,Covert
Jan 30 2015 01: +0,38.515,506,Minimal Wear,Covert
Jan 31 2015 01: +0,39.464,456,Minimal Wear,Covert
Feb 01 2015 01: +0,37.896,504,Minimal Wear,Covert
Feb 02 2015 01: +0,38.213,381,Minimal Wear,Covert
Feb 03 2015 01: +0,38.964,417,Minimal Wear,Covert
Feb 04 2015 01: +0,39.24,421,Minimal Wear,Covert
Feb 05 2015 01: +0,38.934,442,Minimal Wear,Covert
Feb 06 2015 01: +0,38.357,464,Minimal Wear,Covert
Feb 07 2015 01: +0,39.427,505,Minimal Wear,Covert
Feb 08 2015 01: +0,38.046,473,Minimal Wear,Covert
Feb 09 2015 01: +0,38.59,342,Minimal Wear,Covert
Feb 10 2015 01: +0,38.313,317,Minimal Wear,Covert
Feb 11 2015 01: +0,37.366,356,Minimal Wear,Covert
Feb 12 2015 01: +0,37.079,400,Minimal Wear,Covert
Feb 13 2015 01: +0,38.52,427,Minimal Wear,Covert
Feb 14 2015 01: +0,39.012,502,Minimal Wear,Covert
Feb 15 2015 01: +0,38.62,453,Minimal Wear,Covert
Feb 16 2015 01: +0,37.629,464,Minimal Wear,Covert
Feb 17 2015 01: +0,38.037,401,Minimal Wear,Covert
Feb 18 2015 01: +0,37.984,403,Minimal Wear,Covert
Feb 19 2015 01: +0,37.822,418,Minimal Wear,Covert
Feb 20 2015 01: +0,38.616,476,Minimal Wear,Covert
Feb 21 2015 01: +0,37.431,396,Minimal Wear,Covert
Feb 22 2015 01: +0,37.171,374,Minimal Wear,Covert
Feb 23 2015 01: +0,36.973,358,Minimal Wear,Covert
Feb 24 2015 01: +0,37.306,344,Minimal Wear,Covert
Feb 25 2015 01: +0,38.112,363,Minimal Wear,Covert
Feb 26 2015 01: +0,38.793,381,Minimal Wear,Covert
Feb 27 2015 01: +0,38.749,462,Minimal Wear,Covert
Feb 28 2015 01: +0,38.518,436,Minimal Wear,Covert
Mar 01 2015 01: +0,37.725,424,Minimal Wear,Covert
Mar 02 2015 01: +0,37.682,372,Minimal Wear,Covert
Mar 03 2015 01: +0,37.942,330,Minimal Wear,Covert
Mar 04 2015 01: +0,38.232,368,Minimal Wear,Covert
Mar 05 2015 01: +0,38.809,352,Minimal Wear,Covert
Mar 06 2015 01: +0,38.69,436,Minimal Wear,Covert
Mar 07 2015 01: +0,38.035,421,Minimal Wear,Covert
Mar 08 2015 01: +0,37.318,420,Minimal Wear,Covert
Mar 09 2015 01: +0,36.256,369,Minimal Wear,Covert
Mar 10 2015 01: +0,35.679,322,Minimal Wear,Covert
Mar 11 2015 01: +0,35.76,319,Minimal Wear,Covert
Mar 12 2015 01: +0,36.288,399,Minimal Wear,Covert
Mar 13 2015 01: +0,37.038,463,Minimal Wear,Covert
Mar 14 2015 01: +0,36.463,551,Minimal Wear,Covert
Mar 15 2015 01: +0,34.94,531,Minimal Wear,Covert
Mar 16 2015 01: +0,34.9,430,Minimal Wear,Covert
Mar 17 2015 01: +0,36.198,364,Minimal Wear,Covert
Mar 18 2015 01: +0,35.972,351,Minimal Wear,Covert
Mar 19 2015 01: +0,36.522,341,Minimal Wear,Covert
Mar 20 2015 01: +0,37.009,427,Minimal Wear,Covert
Mar 21 2015 01: +0,37.287,472,Minimal Wear,Covert
Mar 22 2015 01: +0,36.474,444,Minimal Wear,Covert
Mar 23 2015 01: +0,36.645,433,Minimal Wear,Covert
Mar 24 2015 01: +0,37.376,382,Minimal Wear,Covert
Mar 25 2015 01: +0,38.091,371,Minimal Wear,Covert
Mar 26 2015 01: +0,37.419,376,Minimal Wear,Covert
Mar 27 2015 01: +0,37.83,471,Minimal Wear,Covert
Mar 28 2015 01: +0,37.68,454,Minimal Wear,Covert
Mar 29 2015 01: +0,37.6,453,Minimal Wear,Covert
Mar 30 2015 01: +0,36.882,457,Minimal Wear,Covert
Mar 31 2015 01: +0,36.386,431,Minimal Wear,Covert
Apr 01 2015 01: +0,36.963,554,Minimal Wear,Covert
Apr 02 2015 01: +0,37.806,501,Minimal Wear,Covert
Apr 03 2015 01: +0,37.943,450,Minimal Wear,Covert
Apr 04 2015 01: +0,37.227,551,Minimal Wear,Covert
Apr 05 2015 01: +0,37.903,522,Minimal Wear,Covert
Apr 06 2015 01: +0,37.61,523,Minimal Wear,Covert
Apr 07 2015 01: +0,38.338,600,Minimal Wear,Covert
Apr 08 2015 01: +0,38.42,500,Minimal Wear,Covert
Apr 09 2015 01: +0,37.968,491,Minimal Wear,Covert
Apr 10 2015 01: +0,38.801,436,Minimal Wear,Covert
Apr 11 2015 01: +0,37.339,584,Minimal Wear,Covert
Apr 12 2015 01: +0,36.61,526,Minimal Wear,Covert
Apr 13 2015 01: +0,35.253,517,Minimal Wear,Covert
Apr 14 2015 01: +0,33.079,539,Minimal Wear,Covert
Apr 15 2015 01: +0,32.884,471,Minimal Wear,Covert
Apr 16 2015 01: +0,29.177,827,Minimal Wear,Covert
Apr 17 2015 01: +0,29.643,739,Minimal Wear,Covert
Apr 18 2015 01: +0,29.717,709,Minimal Wear,Covert
Apr 19 2015 01: +0,29.396,527,Minimal Wear,Covert
Apr 20 2015 01: +0,28.696,561,Minimal Wear,Covert
Apr 21 2015 01: +0,29.737,516,Minimal Wear,Covert
Apr 22 2015 01: +0,30.076,436,Minimal Wear,Covert
Apr 23 2015 01: +0,30.113,456,Minimal Wear,Covert
Apr 24 2015 01: +0,30.563,497,Minimal Wear,Covert
Apr 25 2015 01: +0,30.887,631,Minimal Wear,Covert
Apr 26 2015 01: +0,30.645,545,Minimal Wear,Covert
Apr 27 2015 01: +0,30.622,456,Minimal Wear,Covert
Apr 28 2015 01: +0,30.978,451,Minimal Wear,Covert
Apr 29 2015 01: +0,31.33,428,Minimal Wear,Covert
Apr 30 2015 01: +0,31.838,518,Minimal Wear,Covert
May 01 2015 01: +0,29.348,975,Minimal Wear,Covert
May 02 2015 01: +0,31.937,644,Minimal Wear,Covert
May 03 2015 01: +0,30.903,619,Minimal Wear,Covert
May 04 2015 01: +0,30.604,602,Minimal Wear,Covert
May 05 2015 01: +0,31.959,487,Minimal Wear,Covert
May 06 2015 01: +0,31.958,497,Minimal Wear,Covert
May 07 2015 01: +0,32.302,465,Minimal Wear,Covert
May 08 2015 01: +0,31.791,607,Minimal Wear,Covert
May 09 2015 01: +0,32.931,564,Minimal Wear,Covert
May 10 2015 01: +0,31.536,540,Minimal Wear,Covert
May 11 2015 01: +0,32.113,472,Minimal Wear,Covert
May 12 2015 01: +0,32.676,488,Minimal Wear,Covert
May 13 2015 01: +0,32.457,487,Minimal Wear,Covert
May 14 2015 01: +0,32.81,473,Minimal Wear,Covert
May 15 2015 01: +0,33.187,516,Minimal Wear,Covert
May 16 2015 01: +0,33.358,612,Minimal Wear,Covert
May 17 2015 01: +0,32.607,596,Minimal Wear,Covert
May 18 2015 01: +0,33.279,519,Minimal Wear,Covert
May 19 2015 01: +0,33.399,435,Minimal Wear,Covert
May 20 2015 01: +0,33.04,451,Minimal Wear,Covert
May 21 2015 01: +0,32.644,451,Minimal Wear,Covert
May 22 2015 01: +0,33.796,535,Minimal Wear,Covert
May 23 2015 01: +0,33.856,588,Minimal Wear,Covert
May 24 2015 01: +0,32.88,520,Minimal Wear,Covert
May 25 2015 01: +0,32.252,503,Minimal Wear,Covert
May 26 2015 01: +0,32.315,462,Minimal Wear,Covert
May 27 2015 01: +0,27.491,904,Minimal Wear,Covert
May 28 2015 01: +0,28.639,686,Minimal Wear,Covert
May 29 2015 01: +0,30.197,687,Minimal Wear,Covert
May 30 2015 01: +0,31.358,633,Minimal Wear,Covert
May 31 2015 01: +0,31.168,614,Minimal Wear,Covert
Jun 01 2015 01: +0,31.268,680,Minimal Wear,Covert
Jun 02 2015 01: +0,31.537,590,Minimal Wear,Covert
Jun 03 2015 01: +0,31.346,547,Minimal Wear,Covert
Jun 04 2015 01: +0,30.767,592,Minimal Wear,Covert
Jun 05 2015 01: +0,29.719,674,Minimal Wear,Covert
Jun 06 2015 01: +0,30.385,598,Minimal Wear,Covert
Jun 07 2015 01: +0,29.377,636,Minimal Wear,Covert
Jun 08 2015 01: +0,29.693,604,Minimal Wear,Covert
Jun 09 2015 01: +0,30.732,599,Minimal Wear,Covert
Jun 10 2015 01: +0,30.919,636,Minimal Wear,Covert
Jun 11 2015 01: +0,28.889,623,Minimal Wear,Covert
Jun 12 2015 01: +0,28.839,637,Minimal Wear,Covert
Jun 13 2015 01: +0,28.793,694,Minimal Wear,Covert
Jun 14 2015 01: +0,27.812,629,Minimal Wear,Covert
Jun 15 2015 01: +0,28.258,632,Minimal Wear,Covert
Jun 16 2015 01: +0,28.291,609,Minimal Wear,Covert
Jun 17 2015 01: +0,27.778,624,Minimal Wear,Covert
Jun 18 2015 01: +0,28.069,584,Minimal Wear,Covert
Jun 19 2015 01: +0,28.502,701,Minimal Wear,Covert
Jun 20 2015 01: +0,27.739,701,Minimal Wear,Covert
Jun 21 2015 01: +0,26.824,643,Minimal Wear,Covert
Jun 22 2015 01: +0,26.994,709,Minimal Wear,Covert
Jun 23 2015 01: +0,28.171,625,Minimal Wear,Covert
Jun 24 2015 01: +0,29.3,590,Minimal Wear,Covert
Jun 25 2015 01: +0,30.064,609,Minimal Wear,Covert
Jun 26 2015 01: +0,30.306,638,Minimal Wear,Covert
Jun 27 2015 01: +0,30.672,607,Minimal Wear,Covert
Jun 28 2015 01: +0,29.309,528,Minimal Wear,Covert
Jun 29 2015 01: +0,29.922,649,Minimal Wear,Covert
Jun 30 2015 01: +0,30.583,640,Minimal Wear,Covert
Jul 01 2015 01: +0,30.641,591,Minimal Wear,Covert
Jul 02 2015 01: +0,30.89,580,Minimal Wear,Covert
Jul 03 2015 01: +0,31.126,586,Minimal Wear,Covert
Jul 04 2015 01: +0,31.11,537,Minimal Wear,Covert
Jul 05 2015 01: +0,31.064,481,Minimal Wear,Covert
Jul 06 2015 01: +0,31.599,557,Minimal Wear,Covert
Jul 07 2015 01: +0,31.339,562,Minimal Wear,Covert
Jul 08 2015 01: +0,30.953,547,Minimal Wear,Covert
Jul 09 2015 01: +0,30.98,554,Minimal Wear,Covert
Jul 10 2015 01: +0,31.782,531,Minimal Wear,Covert
Jul 11 2015 01: +0,31.064,554,Minimal Wear,Covert
Jul 12 2015 01: +0,30.905,551,Minimal Wear,Covert
Jul 13 2015 01: +0,30.514,613,Minimal Wear,Covert
Jul 14 2015 01: +0,30.73,512,Minimal Wear,Covert
