Date,Price,Quantity Sold,exterior,rarity
Sep 22 2021 01: +0,0.854,13937,Field-Tested,Mil-Spec Grade
Sep 23 2021 01: +0,0.837,9292,Field-Tested,Mil-Spec Grade
Sep 24 2021 01: +0,0.677,6818,Field-Tested,Mil-Spec Grade
Sep 25 2021 01: +0,0.583,6784,Field-Tested,Mil-Spec Grade
Sep 26 2021 01: +0,0.575,5306,Field-Tested,Mil-Spec Grade
Sep 27 2021 01: +0,0.594,4642,Field-Tested,Mil-Spec Grade
Sep 28 2021 01: +0,0.564,4471,Field-Tested,Mil-Spec Grade
Sep 29 2021 01: +0,0.596,9652,Field-Tested,Mil-Spec Grade
Sep 30 2021 01: +0,0.649,6212,Field-Tested,Mil-Spec Grade
Oct 01 2021 01: +0,0.608,4539,Field-Tested,Mil-Spec Grade
Oct 02 2021 01: +0,0.603,4809,Field-Tested,Mil-Spec Grade
Oct 03 2021 01: +0,0.616,4092,Field-Tested,Mil-Spec Grade
Oct 04 2021 01: +0,0.675,3138,Field-Tested,Mil-Spec Grade
Oct 05 2021 01: +0,0.684,4429,Field-Tested,Mil-Spec Grade
Oct 06 2021 01: +0,0.638,7408,Field-Tested,Mil-Spec Grade
Oct 07 2021 01: +0,0.635,6553,Field-Tested,Mil-Spec Grade
Oct 08 2021 01: +0,0.695,5897,Field-Tested,Mil-Spec Grade
Oct 09 2021 01: +0,0.625,4209,Field-Tested,Mil-Spec Grade
Oct 10 2021 01: +0,0.598,3980,Field-Tested,Mil-Spec Grade
Oct 11 2021 01: +0,0.573,3208,Field-Tested,Mil-Spec Grade
Oct 12 2021 01: +0,0.557,3582,Field-Tested,Mil-Spec Grade
Oct 13 2021 01: +0,0.521,6150,Field-Tested,Mil-Spec Grade
Oct 14 2021 01: +0,0.489,4498,Field-Tested,Mil-Spec Grade
Oct 15 2021 01: +0,0.45,3823,Field-Tested,Mil-Spec Grade
Oct 16 2021 01: +0,0.447,4027,Field-Tested,Mil-Spec Grade
Oct 17 2021 01: +0,0.467,3146,Field-Tested,Mil-Spec Grade
Oct 18 2021 01: +0,0.466,2576,Field-Tested,Mil-Spec Grade
Oct 19 2021 01: +0,0.438,3148,Field-Tested,Mil-Spec Grade
Oct 20 2021 01: +0,0.399,5460,Field-Tested,Mil-Spec Grade
Oct 21 2021 01: +0,0.379,4148,Field-Tested,Mil-Spec Grade
Oct 22 2021 01: +0,0.318,5908,Field-Tested,Mil-Spec Grade
Oct 23 2021 01: +0,0.32,3937,Field-Tested,Mil-Spec Grade
Oct 24 2021 01: +0,0.32,2892,Field-Tested,Mil-Spec Grade
Oct 25 2021 01: +0,0.327,2769,Field-Tested,Mil-Spec Grade
Oct 26 2021 01: +0,0.321,3171,Field-Tested,Mil-Spec Grade
Oct 27 2021 01: +0,0.309,5350,Field-Tested,Mil-Spec Grade
Oct 28 2021 01: +0,0.322,3895,Field-Tested,Mil-Spec Grade
Oct 29 2021 01: +0,0.313,3664,Field-Tested,Mil-Spec Grade
Oct 30 2021 01: +0,0.334,3865,Field-Tested,Mil-Spec Grade
Oct 31 2021 01: +0,0.368,3800,Field-Tested,Mil-Spec Grade
Nov 01 2021 01: +0,0.375,3061,Field-Tested,Mil-Spec Grade
Nov 02 2021 01: +0,0.388,3671,Field-Tested,Mil-Spec Grade
Nov 03 2021 01: +0,0.371,6384,Field-Tested,Mil-Spec Grade
Nov 04 2021 01: +0,0.38,4594,Field-Tested,Mil-Spec Grade
Nov 05 2021 01: +0,0.398,4803,Field-Tested,Mil-Spec Grade
Nov 06 2021 01: +0,0.403,3843,Field-Tested,Mil-Spec Grade
Nov 07 2021 01: +0,0.404,3816,Field-Tested,Mil-Spec Grade
Nov 08 2021 01: +0,0.403,3263,Field-Tested,Mil-Spec Grade
Nov 09 2021 01: +0,0.408,3328,Field-Tested,Mil-Spec Grade
Nov 10 2021 01: +0,0.377,8774,Field-Tested,Mil-Spec Grade
Nov 11 2021 01: +0,0.348,5772,Field-Tested,Mil-Spec Grade
Nov 12 2021 01: +0,0.353,5214,Field-Tested,Mil-Spec Grade
Nov 13 2021 01: +0,0.375,4732,Field-Tested,Mil-Spec Grade
Nov 14 2021 01: +0,0.368,3659,Field-Tested,Mil-Spec Grade
Nov 15 2021 01: +0,0.399,2884,Field-Tested,Mil-Spec Grade
Nov 16 2021 01: +0,0.431,3580,Field-Tested,Mil-Spec Grade
Nov 17 2021 01: +0,0.404,6221,Field-Tested,Mil-Spec Grade
Nov 18 2021 01: +0,0.412,5358,Field-Tested,Mil-Spec Grade
Nov 19 2021 01: +0,0.403,4408,Field-Tested,Mil-Spec Grade
Nov 20 2021 01: +0,0.377,4081,Field-Tested,Mil-Spec Grade
Nov 21 2021 01: +0,0.377,3634,Field-Tested,Mil-Spec Grade
Nov 22 2021 01: +0,0.385,3396,Field-Tested,Mil-Spec Grade
Nov 23 2021 01: +0,0.387,3314,Field-Tested,Mil-Spec Grade
Nov 24 2021 01: +0,0.379,6243,Field-Tested,Mil-Spec Grade
Nov 25 2021 01: +0,0.372,5244,Field-Tested,Mil-Spec Grade
Nov 26 2021 01: +0,0.359,4581,Field-Tested,Mil-Spec Grade
Nov 27 2021 01: +0,0.36,4437,Field-Tested,Mil-Spec Grade
Nov 28 2021 01: +0,0.352,3771,Field-Tested,Mil-Spec Grade
Nov 29 2021 01: +0,0.352,3445,Field-Tested,Mil-Spec Grade
Nov 30 2021 01: +0,0.35,5185,Field-Tested,Mil-Spec Grade
Dec 01 2021 01: +0,0.34,7508,Field-Tested,Mil-Spec Grade
Dec 02 2021 01: +0,0.332,4414,Field-Tested,Mil-Spec Grade
Dec 03 2021 01: +0,0.349,4214,Field-Tested,Mil-Spec Grade
Dec 04 2021 01: +0,0.357,3953,Field-Tested,Mil-Spec Grade
Dec 05 2021 01: +0,0.372,4479,Field-Tested,Mil-Spec Grade
Dec 06 2021 01: +0,0.381,2985,Field-Tested,Mil-Spec Grade
Dec 07 2021 01: +0,0.4,3821,Field-Tested,Mil-Spec Grade
Dec 08 2021 01: +0,0.393,5994,Field-Tested,Mil-Spec Grade
Dec 09 2021 01: +0,0.394,4685,Field-Tested,Mil-Spec Grade
Dec 10 2021 01: +0,0.398,4237,Field-Tested,Mil-Spec Grade
Dec 11 2021 01: +0,0.397,4183,Field-Tested,Mil-Spec Grade
Dec 12 2021 01: +0,0.393,3611,Field-Tested,Mil-Spec Grade
Dec 13 2021 01: +0,0.393,2542,Field-Tested,Mil-Spec Grade
Dec 14 2021 01: +0,0.396,3088,Field-Tested,Mil-Spec Grade
Dec 15 2021 01: +0,0.385,6081,Field-Tested,Mil-Spec Grade
Dec 16 2021 01: +0,0.368,4560,Field-Tested,Mil-Spec Grade
Dec 17 2021 01: +0,0.382,3460,Field-Tested,Mil-Spec Grade
Dec 18 2021 01: +0,0.363,4233,Field-Tested,Mil-Spec Grade
Dec 19 2021 01: +0,0.343,3572,Field-Tested,Mil-Spec Grade
Dec 20 2021 01: +0,0.347,2901,Field-Tested,Mil-Spec Grade
Dec 21 2021 01: +0,0.375,3541,Field-Tested,Mil-Spec Grade
Dec 22 2021 01: +0,0.377,5541,Field-Tested,Mil-Spec Grade
Dec 23 2021 01: +0,0.389,4560,Field-Tested,Mil-Spec Grade
Dec 24 2021 01: +0,0.402,4402,Field-Tested,Mil-Spec Grade
Dec 25 2021 01: +0,0.404,4084,Field-Tested,Mil-Spec Grade
Dec 26 2021 01: +0,0.558,11951,Field-Tested,Mil-Spec Grade
Dec 27 2021 01: +0,0.647,9717,Field-Tested,Mil-Spec Grade
Dec 28 2021 01: +0,0.604,6598,Field-Tested,Mil-Spec Grade
Dec 29 2021 01: +0,0.473,8652,Field-Tested,Mil-Spec Grade
Dec 30 2021 01: +0,0.431,5818,Field-Tested,Mil-Spec Grade
Dec 31 2021 01: +0,0.432,4175,Field-Tested,Mil-Spec Grade
Jan 01 2022 01: +0,0.427,4928,Field-Tested,Mil-Spec Grade
Jan 02 2022 01: +0,0.434,4421,Field-Tested,Mil-Spec Grade
Jan 03 2022 01: +0,0.438,4473,Field-Tested,Mil-Spec Grade
Jan 04 2022 01: +0,0.432,5192,Field-Tested,Mil-Spec Grade
Jan 05 2022 01: +0,0.405,9397,Field-Tested,Mil-Spec Grade
Jan 06 2022 01: +0,0.42,6207,Field-Tested,Mil-Spec Grade
Jan 07 2022 01: +0,0.442,5289,Field-Tested,Mil-Spec Grade
Jan 08 2022 01: +0,0.44,4654,Field-Tested,Mil-Spec Grade
Jan 09 2022 01: +0,0.438,4527,Field-Tested,Mil-Spec Grade
Jan 10 2022 01: +0,0.427,3964,Field-Tested,Mil-Spec Grade
Jan 11 2022 01: +0,0.435,3966,Field-Tested,Mil-Spec Grade
Jan 12 2022 01: +0,0.432,3896,Field-Tested,Mil-Spec Grade
Jan 13 2022 01: +0,0.443,3794,Field-Tested,Mil-Spec Grade
