Date,Price,Quatity Sold
Oct 11 2014 01: +0,0.713,50480
Oct 12 2014 01: +0,0.634,46522
Oct 13 2014 01: +0,0.619,40242
Oct 14 2014 01: +0,0.611,39170
Oct 15 2014 01: +0,0.625,40088
Oct 16 2014 01: +0,0.624,39208
Oct 17 2014 01: +0,0.638,46745
Oct 18 2014 01: +0,0.616,48402
Oct 19 2014 01: +0,0.548,44802
Oct 20 2014 01: +0,0.53,38618
Oct 21 2014 01: +0,0.533,37107
Oct 22 2014 01: +0,0.526,38938
Oct 23 2014 01: +0,0.53,41977
Oct 24 2014 01: +0,0.56,50610
Oct 25 2014 01: +0,0.537,49102
Oct 26 2014 01: +0,0.501,51596
Oct 27 2014 01: +0,0.496,40958
Oct 28 2014 01: +0,0.49,40991
Oct 29 2014 01: +0,0.495,42207
Oct 30 2014 01: +0,0.486,45009
Oct 31 2014 01: +0,0.507,54601
Nov 01 2014 01: +0,0.502,52595
Nov 02 2014 01: +0,0.467,51840
Nov 03 2014 01: +0,0.435,43267
Nov 04 2014 01: +0,0.464,44197
Nov 05 2014 01: +0,0.46,39678
Nov 06 2014 01: +0,0.451,41597
Nov 07 2014 01: +0,0.448,46468
Nov 08 2014 01: +0,0.428,50637
Nov 09 2014 01: +0,0.371,48066
Nov 10 2014 01: +0,0.372,43199
Nov 11 2014 01: +0,0.371,41603
Nov 12 2014 01: +0,0.234,53713
Nov 13 2014 01: +0,0.193,46535
Nov 14 2014 01: +0,0.24,46625
Nov 15 2014 01: +0,0.218,47054
Nov 16 2014 01: +0,0.179,44323
Nov 17 2014 01: +0,0.171,36221
Nov 18 2014 01: +0,0.178,35332
Nov 19 2014 01: +0,0.158,28232
Nov 20 2014 01: +0,0.139,30309
Nov 21 2014 01: +0,0.129,34252
Nov 22 2014 01: +0,0.119,38047
Nov 23 2014 01: +0,0.111,36040
Nov 24 2014 01: +0,0.115,31543
Nov 25 2014 01: +0,0.126,34098
Nov 26 2014 01: +0,0.124,34703
Nov 27 2014 01: +0,0.121,39206
Nov 28 2014 01: +0,0.13,46555
Nov 29 2014 01: +0,0.126,45724
Nov 30 2014 01: +0,0.111,49990
Dec 01 2014 01: +0,0.12,41104
Dec 02 2014 01: +0,0.124,38799
Dec 03 2014 01: +0,0.133,36887
Dec 04 2014 01: +0,0.136,36499
Dec 05 2014 01: +0,0.143,44880
Dec 06 2014 01: +0,0.148,53574
Dec 07 2014 01: +0,0.15,51041
Dec 08 2014 01: +0,0.151,44712
Dec 09 2014 01: +0,0.165,43538
Dec 10 2014 01: +0,0.165,42123
Dec 11 2014 01: +0,0.158,44199
Dec 12 2014 01: +0,0.153,48538
Dec 13 2014 01: +0,0.143,55525
Dec 14 2014 01: +0,0.129,52145
Dec 15 2014 01: +0,0.126,42912
Dec 16 2014 01: +0,0.13,45558
Dec 17 2014 01: +0,0.125,44169
Dec 18 2014 01: +0,0.126,45156
Dec 19 2014 01: +0,0.135,55570
Dec 20 2014 01: +0,0.128,54138
Dec 21 2014 01: +0,0.122,55404
Dec 22 2014 01: +0,0.12,56365
Dec 23 2014 01: +0,0.133,59950
Dec 24 2014 01: +0,0.153,74267
Dec 25 2014 01: +0,0.223,90511
Dec 26 2014 01: +0,0.251,79864
Dec 27 2014 01: +0,0.252,81553
Dec 28 2014 01: +0,0.202,68977
Dec 29 2014 01: +0,0.2,77032
Dec 30 2014 01: +0,0.221,82555
Dec 31 2014 01: +0,0.246,72664
Jan 01 2015 01: +0,0.254,68912
Jan 02 2015 01: +0,0.246,86772
Jan 03 2015 01: +0,0.249,80577
Jan 04 2015 01: +0,0.245,78949
Jan 05 2015 01: +0,0.234,74923
Jan 06 2015 01: +0,0.231,67719
Jan 07 2015 01: +0,0.222,65026
Jan 08 2015 01: +0,0.223,72462
Jan 09 2015 01: +0,0.207,88587
Jan 10 2015 01: +0,0.181,86744
Jan 11 2015 01: +0,0.164,85245
Jan 12 2015 01: +0,0.156,71127
Jan 13 2015 01: +0,0.163,73279
Jan 14 2015 01: +0,0.166,72930
Jan 15 2015 01: +0,0.164,68885
Jan 16 2015 01: +0,0.154,73716
Jan 17 2015 01: +0,0.142,80317
Jan 18 2015 01: +0,0.124,73577
Jan 19 2015 01: +0,0.118,65382
Jan 20 2015 01: +0,0.117,60940
Jan 21 2015 01: +0,0.114,57744
Jan 22 2015 01: +0,0.111,60885
Jan 23 2015 01: +0,0.114,74511
Jan 24 2015 01: +0,0.113,73608
Jan 25 2015 01: +0,0.101,78505
Jan 26 2015 01: +0,0.096,68332
Jan 27 2015 01: +0,0.095,63153
Jan 28 2015 01: +0,0.094,63052
Jan 29 2015 01: +0,0.093,64809
Jan 30 2015 01: +0,0.093,79090
Jan 31 2015 01: +0,0.092,86124
Feb 01 2015 01: +0,0.082,81015
Feb 02 2015 01: +0,0.077,69120
Feb 03 2015 01: +0,0.081,69420
Feb 04 2015 01: +0,0.081,65806
Feb 05 2015 01: +0,0.082,63403
Feb 06 2015 01: +0,0.081,73215
Feb 07 2015 01: +0,0.079,84057
Feb 08 2015 01: +0,0.072,80499
Feb 09 2015 01: +0,0.069,62231
Feb 10 2015 01: +0,0.069,59251
Feb 11 2015 01: +0,0.068,60456
Feb 12 2015 01: +0,0.068,65315
Feb 13 2015 01: +0,0.068,75088
Feb 14 2015 01: +0,0.067,83652
Feb 15 2015 01: +0,0.058,83682
Feb 16 2015 01: +0,0.056,78131
Feb 17 2015 01: +0,0.058,69235
Feb 18 2015 01: +0,0.056,67345
Feb 19 2015 01: +0,0.058,69682
Feb 20 2015 01: +0,0.061,78522
Feb 21 2015 01: +0,0.06,86902
Feb 22 2015 01: +0,0.055,79919
Feb 23 2015 01: +0,0.054,67919
Feb 24 2015 01: +0,0.055,66301
Feb 25 2015 01: +0,0.057,71018
Feb 26 2015 01: +0,0.057,78484
Feb 27 2015 01: +0,0.058,96468
